"Region","TimePeriod","PopulationValue"
"Plantagenet",2019,5358
"Plantagenet",2020,5410
"Plantagenet",2021,5534
"Plantagenet",2022,5587
"Plantagenet",2023,5669
"South Perth",2013,44348
"South Perth",2014,44251
"South Perth",2015,44096
"South Perth",2016,43879
"South Perth",2017,43886
"South Perth",2018,43989
"South Perth",2019,44538
"South Perth",2020,45072
"South Perth",2021,44952
"South Perth",2022,45201
"South Perth",2023,46701
"Hornsby",2013,144458
"Hornsby",2014,145262
"Hornsby",2015,146147
"Hornsby",2016,147385
"Hornsby",2017,149601
"Hornsby",2018,151809
"Hornsby",2019,153216
"Hornsby",2020,154037
"Hornsby",2021,152263
"Hornsby",2022,151771
"Hornsby",2023,154072
"Narrandera",2013,6054
"Narrandera",2014,6015
"Narrandera",2015,5978
"Narrandera",2016,5949
"Narrandera",2017,5909
"Narrandera",2018,5879
"Narrandera",2019,5832
"Narrandera",2020,5787
"Narrandera",2021,5733
"Narrandera",2022,5720
"Narrandera",2023,5692
"Halls Creek",2013,3810
"Halls Creek",2014,3734
"Halls Creek",2015,3656
"Halls Creek",2016,3593
"Halls Creek",2017,3619
"Halls Creek",2018,3714
"Halls Creek",2019,3783
"Halls Creek",2020,3932
"Halls Creek",2021,4038
"Halls Creek",2022,4113
"Halls Creek",2023,4136
"Nannup",2013,1343
"Nannup",2014,1350
"Nannup",2015,1352
"Nannup",2016,1339
"Nannup",2017,1398
"Nannup",2018,1440
"Nannup",2019,1487
"Nannup",2020,1547
"Nannup",2021,1575
"Nannup",2022,1593
"Nannup",2023,1632
"West Arnhem",2013,7290
"West Arnhem",2014,7157
"West Arnhem",2015,7060
"West Arnhem",2016,6941
"West Arnhem",2017,6943
"West Arnhem",2018,6985
"West Arnhem",2019,7059
"West Arnhem",2020,7130
"West Arnhem",2021,7182
"West Arnhem",2022,7258
"West Arnhem",2023,7407
"Mitcham",2013,65644
"Mitcham",2014,65986
"Mitcham",2015,66232
"Mitcham",2016,66482
"Mitcham",2017,66855
"Mitcham",2018,67366
"Mitcham",2019,67690
"Mitcham",2020,68175
"Mitcham",2021,68162
"Mitcham",2022,68370
"Mitcham",2023,69542
"Kingborough",2013,35351
"Kingborough",2014,35723
"Kingborough",2015,36140
"Kingborough",2016,36544
"Kingborough",2017,37485
"Kingborough",2018,38484
"Kingborough",2019,39378
"Kingborough",2020,40052
"Kingborough",2021,40769
"Kingborough",2022,40937
"Kingborough",2023,41179
"Wodonga",2013,37575
"Wodonga",2014,38369
"Wodonga",2015,39223
"Wodonga",2016,40100
"Wodonga",2017,40837
"Wodonga",2018,41541
"Wodonga",2019,42084
"Wodonga",2020,42666
"Wodonga",2021,43207
"Wodonga",2022,43716
"Wodonga",2023,44276
"Hume",2013,184873
"Hume",2014,191278
"Hume",2015,198176
"Hume",2016,207041
"Hume",2017,216249
"Hume",2018,225526
"Hume",2019,235370
"Hume",2020,243643
"Hume",2021,246920
"Hume",2022,253182
"Hume",2023,262764
"Ipswich",2013,183688
"Ipswich",2014,189195
"Ipswich",2015,194274
"Ipswich",2016,200103
"Ipswich",2017,205588
"Ipswich",2018,211946
"Ipswich",2019,219893
"Ipswich",2020,226778
"Ipswich",2021,233314
"Ipswich",2022,242640
"Ipswich",2023,251148
"Winton",2013,1312
"Winton",2014,1276
"Winton",2015,1222
"Winton",2016,1154
"Winton",2017,1149
"Winton",2018,1155
"Winton",2019,1150
"Winton",2020,1130
"Winton",2021,1133
"Winton",2022,1134
"Winton",2023,1138
"Holdfast Bay",2013,36282
"Holdfast Bay",2014,36354
"Holdfast Bay",2015,36425
"Holdfast Bay",2016,36537
"Holdfast Bay",2017,36696
"Holdfast Bay",2018,37002
"Holdfast Bay",2019,37413
"Holdfast Bay",2020,37724
"Holdfast Bay",2021,37857
"Holdfast Bay",2022,38056
"Holdfast Bay",2023,38766
"Canning",2013,93491
"Canning",2014,93843
"Canning",2015,93959
"Canning",2016,93733
"Canning",2017,94403
"Canning",2018,95171
"Canning",2019,96447
"Canning",2020,98643
"Canning",2021,99306
"Canning",2022,99764
"Canning",2023,103691
"Naracoorte Lucindale",2013,8528
"Naracoorte Lucindale",2014,8585
"Naracoorte Lucindale",2015,8570
"Naracoorte Lucindale",2016,8544
"Naracoorte Lucindale",2017,8602
"Naracoorte Lucindale",2018,8679
"Naracoorte Lucindale",2019,8778
"Naracoorte Lucindale",2020,8867
"Naracoorte Lucindale",2021,8892
"Naracoorte Lucindale",2022,8918
"Naracoorte Lucindale",2023,8928
"Busselton",2013,34696
"Busselton",2014,35917
"Busselton",2015,36940
"Busselton",2016,37766
"Busselton",2017,38619
"Busselton",2018,39305
"Busselton",2019,40187
"Busselton",2020,41059
"Busselton",2021,42009
"Busselton",2022,42931
"Busselton",2023,43969
"Darwin",2013,82996
"Darwin",2014,83098
"Darwin",2015,84363
"Darwin",2016,85323
"Darwin",2017,86339
"Darwin",2018,85788
"Darwin",2019,85308
"Darwin",2020,85109
"Darwin",2021,84854
"Darwin",2022,84877
"Darwin",2023,85465
"Walcha",2013,3150
"Walcha",2014,3149
"Walcha",2015,3128
"Walcha",2016,3130
"Walcha",2017,3138
"Walcha",2018,3110
"Walcha",2019,3090
"Walcha",2020,3057
"Walcha",2021,3019
"Walcha",2022,3010
"Walcha",2023,2968
"Victoria Daly",2013,3312
"Victoria Daly",2014,3269
"Victoria Daly",2015,3217
"Victoria Daly",2016,3142
"Victoria Daly",2017,3120
"Victoria Daly",2018,3135
"Victoria Daly",2019,3163
"Victoria Daly",2020,3196
"Victoria Daly",2021,3221
"Victoria Daly",2022,3262
"Victoria Daly",2023,3295
"Casey",2013,278023
"Casey",2014,287937
"Casey",2015,299528
"Casey",2016,312789
"Casey",2017,324946
"Casey",2018,338087
"Casey",2019,352006
"Casey",2020,363970
"Casey",2021,369558
"Casey",2022,379104
"Casey",2023,392110
"Northern Areas",2013,4595
"Northern Areas",2014,4610
"Northern Areas",2015,4616
"Northern Areas",2016,4623
"Northern Areas",2017,4607
"Northern Areas",2018,4596
"Northern Areas",2019,4611
"Northern Areas",2020,4622
"Northern Areas",2021,4659
"Northern Areas",2022,4662
"Northern Areas",2023,4667
"Waroona",2013,3931
"Waroona",2014,4057
"Waroona",2015,4133
"Waroona",2016,4162
"Waroona",2017,4167
"Waroona",2018,4195
"Waroona",2019,4254
"Waroona",2020,4314
"Waroona",2021,4355
"Waroona",2022,4401
"Waroona",2023,4457
"Latrobe (Tas.)",2013,10433
"Latrobe (Tas.)",2014,10569
"Latrobe (Tas.)",2015,10723
"Latrobe (Tas.)",2016,10927
"Latrobe (Tas.)",2017,11240
"Latrobe (Tas.)",2018,11550
"Latrobe (Tas.)",2019,11922
"Latrobe (Tas.)",2020,12301
"Latrobe (Tas.)",2021,12697
"Latrobe (Tas.)",2022,12921
"Latrobe (Tas.)",2023,13062
"Cootamundra-Gundagai Regional",2013,11313
"Cootamundra-Gundagai Regional",2014,11305
"Cootamundra-Gundagai Regional",2015,11302
"Cootamundra-Gundagai Regional",2016,11291
"Cootamundra-Gundagai Regional",2017,11306
"Cootamundra-Gundagai Regional",2018,11324
"Cootamundra-Gundagai Regional",2019,11362
"Cootamundra-Gundagai Regional",2020,11393
"Cootamundra-Gundagai Regional",2021,11390
"Cootamundra-Gundagai Regional",2022,11403
"Cootamundra-Gundagai Regional",2023,11424
"Ravensthorpe",2013,2118
"Ravensthorpe",2014,2036
"Ravensthorpe",2015,1906
"Ravensthorpe",2016,1764
"Ravensthorpe",2017,1819
"Ravensthorpe",2018,1845
"Ravensthorpe",2019,1914
"Ravensthorpe",2020,2023
"Ravensthorpe",2021,2157
"Ravensthorpe",2022,2202
"Ravensthorpe",2023,2277
"Campaspe",2013,37213
"Campaspe",2014,37338
"Campaspe",2015,37429
"Campaspe",2016,37595
"Campaspe",2017,37799
"Campaspe",2018,37948
"Campaspe",2019,38128
"Campaspe",2020,38379
"Campaspe",2021,38556
"Campaspe",2022,38556
"Campaspe",2023,38299
"Cockburn",2013,102787
"Cockburn",2014,104906
"Cockburn",2015,106802
"Cockburn",2016,108302
"Cockburn",2017,110451
"Cockburn",2018,112928
"Cockburn",2019,115577
"Cockburn",2020,119032
"Cockburn",2021,122212
"Cockburn",2022,125232
"Cockburn",2023,130282
"Northern Peninsula Area",2013,2620
"Northern Peninsula Area",2014,2741
"Northern Peninsula Area",2015,2836
"Northern Peninsula Area",2016,2945
"Northern Peninsula Area",2017,2935
"Northern Peninsula Area",2018,2923
"Northern Peninsula Area",2019,2904
"Northern Peninsula Area",2020,2891
"Northern Peninsula Area",2021,2885
"Northern Peninsula Area",2022,2889
"Northern Peninsula Area",2023,2908
"Darwin Waterfront Precinct",2013,293
"Darwin Waterfront Precinct",2014,323
"Darwin Waterfront Precinct",2015,365
"Darwin Waterfront Precinct",2016,398
"Darwin Waterfront Precinct",2017,400
"Darwin Waterfront Precinct",2018,373
"Darwin Waterfront Precinct",2019,348
"Darwin Waterfront Precinct",2020,330
"Darwin Waterfront Precinct",2021,312
"Darwin Waterfront Precinct",2022,289
"Darwin Waterfront Precinct",2023,282
"Gawler",2013,21656
"Gawler",2014,22275
"Gawler",2015,22707
"Gawler",2016,23355
"Gawler",2017,23729
"Gawler",2018,24055
"Gawler",2019,24465
"Gawler",2020,24770
"Gawler",2021,25300
"Gawler",2022,26114
"Gawler",2023,26789
"Glen Innes Severn",2013,8909
"Glen Innes Severn",2014,8919
"Glen Innes Severn",2015,8926
"Glen Innes Severn",2016,8934
"Glen Innes Severn",2017,8937
"Glen Innes Severn",2018,8941
"Glen Innes Severn",2019,8947
"Glen Innes Severn",2020,8946
"Glen Innes Severn",2021,8925
"Glen Innes Severn",2022,8944
"Glen Innes Severn",2023,8989
"East Arnhem",2013,10677
"East Arnhem",2014,10469
"East Arnhem",2015,10362
"East Arnhem",2016,10252
"East Arnhem",2017,10211
"East Arnhem",2018,10165
"East Arnhem",2019,10153
"East Arnhem",2020,10123
"East Arnhem",2021,10089
"East Arnhem",2022,10108
"East Arnhem",2023,10011
"Banana",2013,14948
"Banana",2014,14860
"Banana",2015,14707
"Banana",2016,14570
"Banana",2017,14573
"Banana",2018,14525
"Banana",2019,14581
"Banana",2020,14587
"Banana",2021,14657
"Banana",2022,14778
"Banana",2023,14919
"Lismore",2013,44408
"Lismore",2014,44327
"Lismore",2015,44212
"Lismore",2016,44122
"Lismore",2017,44137
"Lismore",2018,44196
"Lismore",2019,44234
"Lismore",2020,44316
"Lismore",2021,44361
"Lismore",2022,44274
"Lismore",2023,43907
"Murray Bridge",2013,20726
"Murray Bridge",2014,21004
"Murray Bridge",2015,21274
"Murray Bridge",2016,21562
"Murray Bridge",2017,21719
"Murray Bridge",2018,21893
"Murray Bridge",2019,22089
"Murray Bridge",2020,22268
"Murray Bridge",2021,22339
"Murray Bridge",2022,22538
"Murray Bridge",2023,22901
"Port Hedland",2013,15951
"Port Hedland",2014,15648
"Port Hedland",2015,15387
"Port Hedland",2016,15064
"Port Hedland",2017,14989
"Port Hedland",2018,15208
"Port Hedland",2019,15585
"Port Hedland",2020,16115
"Port Hedland",2021,16666
"Port Hedland",2022,17031
"Port Hedland",2023,17247
"Willoughby",2013,73072
"Willoughby",2014,74238
"Willoughby",2015,75970
"Willoughby",2016,77888
"Willoughby",2017,78873
"Willoughby",2018,78797
"Willoughby",2019,78830
"Willoughby",2020,78566
"Willoughby",2021,76044
"Willoughby",2022,75508
"Willoughby",2023,77874
"Isaac",2013,23284
"Isaac",2014,22786
"Isaac",2015,22173
"Isaac",2016,21543
"Isaac",2017,21480
"Isaac",2018,21523
"Isaac",2019,21773
"Isaac",2020,22141
"Isaac",2021,22419
"Isaac",2022,22744
"Isaac",2023,23024
"Barcaldine",2013,3232
"Barcaldine",2014,3166
"Barcaldine",2015,3082
"Barcaldine",2016,2909
"Barcaldine",2017,2881
"Barcaldine",2018,2877
"Barcaldine",2019,2876
"Barcaldine",2020,2862
"Barcaldine",2021,2863
"Barcaldine",2022,2864
"Barcaldine",2023,2894
"Wakefield",2013,6841
"Wakefield",2014,6896
"Wakefield",2015,6932
"Wakefield",2016,6950
"Wakefield",2017,6976
"Wakefield",2018,6891
"Wakefield",2019,6921
"Wakefield",2020,6867
"Wakefield",2021,6925
"Wakefield",2022,6969
"Wakefield",2023,6958
"Walkerville",2013,7399
"Walkerville",2014,7447
"Walkerville",2015,7732
"Walkerville",2016,7781
"Walkerville",2017,7876
"Walkerville",2018,7975
"Walkerville",2019,8054
"Walkerville",2020,8156
"Walkerville",2021,8086
"Walkerville",2022,8185
"Walkerville",2023,8420
"Westonia",2013,302
"Westonia",2014,305
"Westonia",2015,306
"Westonia",2016,306
"Westonia",2017,301
"Westonia",2018,285
"Westonia",2019,278
"Westonia",2020,268
"Westonia",2021,255
"Westonia",2022,252
"Westonia",2023,244
"Lane Cove",2013,34261
"Lane Cove",2014,35196
"Lane Cove",2015,36402
"Lane Cove",2016,37694
"Lane Cove",2017,38615
"Lane Cove",2018,39239
"Lane Cove",2019,39790
"Lane Cove",2020,40067
"Lane Cove",2021,39608
"Lane Cove",2022,40088
"Lane Cove",2023,41549
"Merri-bek",2013,160282
"Merri-bek",2014,164099
"Merri-bek",2015,167870
"Merri-bek",2016,172294
"Merri-bek",2017,175110
"Merri-bek",2018,177679
"Merri-bek",2019,179327
"Merri-bek",2020,180030
"Merri-bek",2021,173500
"Merri-bek",2022,174886
"Merri-bek",2023,181223
"Narrabri",2013,13489
"Narrabri",2014,13480
"Narrabri",2015,13459
"Narrabri",2016,13367
"Narrabri",2017,13300
"Narrabri",2018,13233
"Narrabri",2019,13146
"Narrabri",2020,12990
"Narrabri",2021,12808
"Narrabri",2022,12720
"Narrabri",2023,12754
"Grant",2013,7993
"Grant",2014,8144
"Grant",2015,8282
"Grant",2016,8417
"Grant",2017,8483
"Grant",2018,8567
"Grant",2019,8672
"Grant",2020,8763
"Grant",2021,8862
"Grant",2022,8926
"Grant",2023,9044
"Quairading",2013,1066
"Quairading",2014,1066
"Quairading",2015,1060
"Quairading",2016,1038
"Quairading",2017,1017
"Quairading",2018,1004
"Quairading",2019,997
"Quairading",2020,984
"Quairading",2021,981
"Quairading",2022,983
"Quairading",2023,973
"Melbourne",2013,118711
"Melbourne",2014,127975
"Melbourne",2015,136872
"Melbourne",2016,146096
"Melbourne",2017,155956
"Melbourne",2018,163363
"Melbourne",2019,168952
"Melbourne",2020,170589
"Melbourne",2021,153110
"Melbourne",2022,160328
"Melbourne",2023,177396
"Augusta Margaret River",2013,13487
"Augusta Margaret River",2014,13996
"Augusta Margaret River",2015,14419
"Augusta Margaret River",2016,14819
"Augusta Margaret River",2017,15258
"Augusta Margaret River",2018,15708
"Augusta Margaret River",2019,16235
"Augusta Margaret River",2020,16792
"Augusta Margaret River",2021,17303
"Augusta Margaret River",2022,17917
"Augusta Margaret River",2023,18620
"Derby-West Kimberley",2013,9491
"Derby-West Kimberley",2014,8864
"Derby-West Kimberley",2015,8570
"Derby-West Kimberley",2016,8364
"Derby-West Kimberley",2017,8290
"Derby-West Kimberley",2018,8340
"Derby-West Kimberley",2019,8321
"Derby-West Kimberley",2020,8362
"Derby-West Kimberley",2021,8414
"Derby-West Kimberley",2022,8410
"Derby-West Kimberley",2023,8433
"Subiaco",2013,16466
"Subiaco",2014,16700
"Subiaco",2015,16927
"Subiaco",2016,17018
"Subiaco",2017,17231
"Subiaco",2018,17320
"Subiaco",2019,17602
"Subiaco",2020,17941
"Subiaco",2021,17902
"Subiaco",2022,18008
"Subiaco",2023,18870
"Clarence",2013,53685
"Clarence",2014,54219
"Clarence",2015,54829
"Clarence",2016,55465
"Clarence",2017,56636
"Clarence",2018,58064
"Clarence",2019,59447
"Clarence",2020,60771
"Clarence",2021,62336
"Clarence",2022,63084
"Clarence",2023,63663
"Greater Shepparton",2013,63244
"Greater Shepparton",2014,63919
"Greater Shepparton",2015,64489
"Greater Shepparton",2016,65072
"Greater Shepparton",2017,65955
"Greater Shepparton",2018,66826
"Greater Shepparton",2019,67733
"Greater Shepparton",2020,68474
"Greater Shepparton",2021,68526
"Greater Shepparton",2022,68964
"Greater Shepparton",2023,69135
"Launceston",2013,66722
"Launceston",2014,66576
"Launceston",2015,66492
"Launceston",2016,66518
"Launceston",2017,67537
"Launceston",2018,68716
"Launceston",2019,69888
"Launceston",2020,71019
"Launceston",2021,71788
"Launceston",2022,71889
"Launceston",2023,71788
"Tablelands",2013,24827
"Tablelands",2014,25060
"Tablelands",2015,25111
"Tablelands",2016,25217
"Tablelands",2017,25521
"Tablelands",2018,25849
"Tablelands",2019,26071
"Tablelands",2020,26309
"Tablelands",2021,26488
"Tablelands",2022,26806
"Tablelands",2023,27259
"Morawa",2013,872
"Morawa",2014,835
"Morawa",2015,800
"Morawa",2016,765
"Morawa",2017,733
"Morawa",2018,701
"Morawa",2019,680
"Morawa",2020,668
"Morawa",2021,669
"Morawa",2022,669
"Morawa",2023,679
"Cardinia",2013,84591
"Cardinia",2014,88070
"Cardinia",2015,92298
"Cardinia",2016,97573
"Cardinia",2017,102258
"Cardinia",2018,106945
"Cardinia",2019,112002
"Cardinia",2020,116505
"Cardinia",2021,119573
"Cardinia",2022,123181
"Cardinia",2023,126960
"Etheridge",2013,864
"Etheridge",2014,840
"Etheridge",2015,818
"Etheridge",2016,807
"Etheridge",2017,792
"Etheridge",2018,773
"Etheridge",2019,747
"Etheridge",2020,731
"Etheridge",2021,724
"Etheridge",2022,720
"Etheridge",2023,726
"Balranald",2013,2381
"Balranald",2014,2376
"Balranald",2015,2364
"Balranald",2016,2330
"Balranald",2017,2338
"Balranald",2018,2308
"Balranald",2019,2287
"Balranald",2020,2257
"Balranald",2021,2208
"Balranald",2022,2210
"Balranald",2023,2202
"Kempsey",2013,29284
"Kempsey",2014,29351
"Kempsey",2015,29379
"Kempsey",2016,29431
"Kempsey",2017,29770
"Kempsey",2018,30080
"Kempsey",2019,30347
"Kempsey",2020,30602
"Kempsey",2021,30828
"Kempsey",2022,31178
"Kempsey",2023,31453
"Gilgandra",2013,4428
"Gilgandra",2014,4382
"Gilgandra",2015,4342
"Gilgandra",2016,4298
"Gilgandra",2017,4304
"Gilgandra",2018,4300
"Gilgandra",2019,4323
"Gilgandra",2020,4327
"Gilgandra",2021,4318
"Gilgandra",2022,4298
"Gilgandra",2023,4309
"Wagga Wagga",2013,62416
"Wagga Wagga",2014,62776
"Wagga Wagga",2015,63327
"Wagga Wagga",2016,63906
"Wagga Wagga",2017,64768
"Wagga Wagga",2018,65618
"Wagga Wagga",2019,66411
"Wagga Wagga",2020,67277
"Wagga Wagga",2021,67891
"Wagga Wagga",2022,68338
"Wagga Wagga",2023,68716
"Orroroo Carrieton",2013,895
"Orroroo Carrieton",2014,900
"Orroroo Carrieton",2015,911
"Orroroo Carrieton",2016,912
"Orroroo Carrieton",2017,898
"Orroroo Carrieton",2018,895
"Orroroo Carrieton",2019,898
"Orroroo Carrieton",2020,893
"Orroroo Carrieton",2021,891
"Orroroo Carrieton",2022,890
"Orroroo Carrieton",2023,889
"Singleton",2013,23557
"Singleton",2014,23597
"Singleton",2015,23586
"Singleton",2016,23576
"Singleton",2017,23806
"Singleton",2018,24036
"Singleton",2019,24309
"Singleton",2020,24503
"Singleton",2021,24725
"Singleton",2022,25093
"Singleton",2023,25332
"Norwood Payneham and St Peters",2013,36347
"Norwood Payneham and St Peters",2014,36361
"Norwood Payneham and St Peters",2015,36369
"Norwood Payneham and St Peters",2016,36396
"Norwood Payneham and St Peters",2017,36678
"Norwood Payneham and St Peters",2018,36996
"Norwood Payneham and St Peters",2019,37477
"Norwood Payneham and St Peters",2020,37958
"Norwood Payneham and St Peters",2021,37823
"Norwood Payneham and St Peters",2022,38019
"Norwood Payneham and St Peters",2023,39312
"Douglas",2013,11585
"Douglas",2014,11757
"Douglas",2015,11877
"Douglas",2016,12070
"Douglas",2017,12206
"Douglas",2018,12204
"Douglas",2019,12312
"Douglas",2020,12371
"Douglas",2021,12441
"Douglas",2022,12662
"Douglas",2023,12828
"Barunga West",2013,2495
"Barunga West",2014,2521
"Barunga West",2015,2542
"Barunga West",2016,2592
"Barunga West",2017,2600
"Barunga West",2018,2594
"Barunga West",2019,2624
"Barunga West",2020,2631
"Barunga West",2021,2675
"Barunga West",2022,2672
"Barunga West",2023,2680
"Cocos Islands",2013,547
"Cocos Islands",2014,556
"Cocos Islands",2015,555
"Cocos Islands",2016,546
"Cocos Islands",2017,552
"Cocos Islands",2018,553
"Cocos Islands",2019,591
"Cocos Islands",2020,608
"Cocos Islands",2021,603
"Cocos Islands",2022,616
"Cocos Islands",2023,631
"Moora",2013,2527
"Moora",2014,2504
"Moora",2015,2505
"Moora",2016,2477
"Moora",2017,2447
"Moora",2018,2409
"Moora",2019,2374
"Moora",2020,2380
"Moora",2021,2382
"Moora",2022,2378
"Moora",2023,2392
"Victoria Park",2013,36260
"Victoria Park",2014,36570
"Victoria Park",2015,36714
"Victoria Park",2016,36647
"Victoria Park",2017,36578
"Victoria Park",2018,36741
"Victoria Park",2019,37348
"Victoria Park",2020,38260
"Victoria Park",2021,38296
"Victoria Park",2022,38756
"Victoria Park",2023,40782
"Yarra",2013,83962
"Yarra",2014,87228
"Yarra",2015,89923
"Yarra",2016,92894
"Yarra",2017,94503
"Yarra",2018,95504
"Yarra",2019,96544
"Yarra",2020,96662
"Yarra",2021,91521
"Yarra",2022,92392
"Yarra",2023,97448
"Cambridge",2013,27856
"Cambridge",2014,27940
"Cambridge",2015,27988
"Cambridge",2016,27991
"Cambridge",2017,28474
"Cambridge",2018,28764
"Cambridge",2019,29167
"Cambridge",2020,29743
"Cambridge",2021,29822
"Cambridge",2022,30160
"Cambridge",2023,31133
"Hay",2013,3016
"Hay",2014,3005
"Hay",2015,2994
"Hay",2016,2984
"Hay",2017,2978
"Hay",2018,2958
"Hay",2019,2933
"Hay",2020,2910
"Hay",2021,2885
"Hay",2022,2834
"Hay",2023,2830
"Nambucca Valley",2013,19428
"Nambucca Valley",2014,19501
"Nambucca Valley",2015,19541
"Nambucca Valley",2016,19580
"Nambucca Valley",2017,19787
"Nambucca Valley",2018,19960
"Nambucca Valley",2019,20150
"Nambucca Valley",2020,20290
"Nambucca Valley",2021,20382
"Nambucca Valley",2022,20607
"Nambucca Valley",2023,20774
"Goyder",2013,4254
"Goyder",2014,4256
"Goyder",2015,4251
"Goyder",2016,4240
"Goyder",2017,4225
"Goyder",2018,4179
"Goyder",2019,4156
"Goyder",2020,4136
"Goyder",2021,4138
"Goyder",2022,4143
"Goyder",2023,4132
"Wagait",2013,459
"Wagait",2014,467
"Wagait",2015,479
"Wagait",2016,492
"Wagait",2017,486
"Wagait",2018,480
"Wagait",2019,474
"Wagait",2020,471
"Wagait",2021,464
"Wagait",2022,463
"Wagait",2023,464
"Canterbury-Bankstown",2013,345692
"Canterbury-Bankstown",2014,350922
"Canterbury-Bankstown",2015,356328
"Canterbury-Bankstown",2016,361862
"Canterbury-Bankstown",2017,367534
"Canterbury-Bankstown",2018,371891
"Canterbury-Bankstown",2019,375333
"Canterbury-Bankstown",2020,376638
"Canterbury-Bankstown",2021,372459
"Canterbury-Bankstown",2022,372119
"Canterbury-Bankstown",2023,379829
"Barcoo",2013,333
"Barcoo",2014,317
"Barcoo",2015,296
"Barcoo",2016,272
"Barcoo",2017,278
"Barcoo",2018,288
"Barcoo",2019,297
"Barcoo",2020,302
"Barcoo",2021,312
"Barcoo",2022,315
"Barcoo",2023,317
"Rockhampton",2013,81745
"Rockhampton",2014,82136
"Rockhampton",2015,82026
"Rockhampton",2016,81322
"Rockhampton",2017,81322
"Rockhampton",2018,81406
"Rockhampton",2019,81842
"Rockhampton",2020,82352
"Rockhampton",2021,82882
"Rockhampton",2022,83596
"Rockhampton",2023,84517
"North Sydney",2013,68666
"North Sydney",2014,69754
"North Sydney",2015,70860
"North Sydney",2016,71809
"North Sydney",2017,72304
"North Sydney",2018,72354
"North Sydney",2019,72155
"North Sydney",2020,71430
"North Sydney",2021,69471
"North Sydney",2022,69373
"North Sydney",2023,72014
"Snowy Valleys",2013,14720
"Snowy Valleys",2014,14690
"Snowy Valleys",2015,14640
"Snowy Valleys",2016,14611
"Snowy Valleys",2017,14693
"Snowy Valleys",2018,14751
"Snowy Valleys",2019,14817
"Snowy Valleys",2020,14889
"Snowy Valleys",2021,14900
"Snowy Valleys",2022,14936
"Snowy Valleys",2023,14935
"Hunters Hill",2013,14242
"Hunters Hill",2014,14428
"Hunters Hill",2015,14540
"Hunters Hill",2016,14656
"Hunters Hill",2017,14621
"Hunters Hill",2018,14563
"Hunters Hill",2019,14427
"Hunters Hill",2020,14269
"Hunters Hill",2021,13596
"Hunters Hill",2022,13924
"Hunters Hill",2023,14036
"Upper Hunter Shire",2013,14514
"Upper Hunter Shire",2014,14508
"Upper Hunter Shire",2015,14412
"Upper Hunter Shire",2016,14344
"Upper Hunter Shire",2017,14318
"Upper Hunter Shire",2018,14298
"Upper Hunter Shire",2019,14291
"Upper Hunter Shire",2020,14296
"Upper Hunter Shire",2021,14258
"Upper Hunter Shire",2022,14291
"Upper Hunter Shire",2023,14338
"Diamantina",2013,299
"Diamantina",2014,303
"Diamantina",2015,301
"Diamantina",2016,296
"Diamantina",2017,284
"Diamantina",2018,286
"Diamantina",2019,282
"Diamantina",2020,273
"Diamantina",2021,270
"Diamantina",2022,270
"Diamantina",2023,272
"Port Lincoln",2013,14531
"Port Lincoln",2014,14595
"Port Lincoln",2015,14585
"Port Lincoln",2016,14523
"Port Lincoln",2017,14595
"Port Lincoln",2018,14652
"Port Lincoln",2019,14733
"Port Lincoln",2020,14773
"Port Lincoln",2021,14879
"Port Lincoln",2022,14953
"Port Lincoln",2023,15018
"MacDonnell",2013,6911
"MacDonnell",2014,6875
"MacDonnell",2015,6859
"MacDonnell",2016,6753
"MacDonnell",2017,6685
"MacDonnell",2018,6648
"MacDonnell",2019,6636
"MacDonnell",2020,6558
"MacDonnell",2021,6574
"MacDonnell",2022,6627
"MacDonnell",2023,6706
"Kingston (Vic.)",2013,152336
"Kingston (Vic.)",2014,154210
"Kingston (Vic.)",2015,156244
"Kingston (Vic.)",2016,158941
"Kingston (Vic.)",2017,160140
"Kingston (Vic.)",2018,161685
"Kingston (Vic.)",2019,163178
"Kingston (Vic.)",2020,163196
"Kingston (Vic.)",2021,159554
"Kingston (Vic.)",2022,160107
"Kingston (Vic.)",2023,163724
"Karratha",2013,24432
"Karratha",2014,23985
"Karratha",2015,23103
"Karratha",2016,22211
"Karratha",2017,22288
"Karratha",2018,22509
"Karratha",2019,22844
"Karratha",2020,23245
"Karratha",2021,23412
"Karratha",2022,23809
"Karratha",2023,24237
"Greater Dandenong",2013,148502
"Greater Dandenong",2014,152135
"Greater Dandenong",2015,156061
"Greater Dandenong",2016,160222
"Greater Dandenong",2017,162924
"Greater Dandenong",2018,164895
"Greater Dandenong",2019,166296
"Greater Dandenong",2020,165648
"Greater Dandenong",2021,160100
"Greater Dandenong",2022,159294
"Greater Dandenong",2023,163792
"Bundaberg",2013,93850
"Bundaberg",2014,94025
"Bundaberg",2015,94028
"Bundaberg",2016,94256
"Bundaberg",2017,95354
"Bundaberg",2018,96599
"Bundaberg",2019,97801
"Bundaberg",2020,98883
"Bundaberg",2021,100095
"Bundaberg",2022,102070
"Bundaberg",2023,104166
"Unincorporated ACT",2013,383257
"Unincorporated ACT",2014,388799
"Unincorporated ACT",2015,395813
"Unincorporated ACT",2016,403104
"Unincorporated ACT",2017,415046
"Unincorporated ACT",2018,426081
"Unincorporated ACT",2019,435730
"Unincorporated ACT",2020,444903
"Unincorporated ACT",2021,452508
"Unincorporated ACT",2022,456915
"Unincorporated ACT",2023,466566
"Carpentaria",2013,2146
"Carpentaria",2014,2112
